"DeMott, L.M., Stumm, F., Como, M., Finkelstein, J., 2023, Horizontal-to-vertical spectral ratio soundings and depth-to-bedrock data for New York City and Long Island, NY: U.S. Geological Survey data release, https://doi.org/10.5066/P9S7Q68D.",,,,,,,,,,
,,,,,,,,,,
HVSR site description,HVSR site name,Latitude (dd),Longitude (dd),Date surveyed,Elevation (ft),f0 of H/V peak (Hz),"""+/-""",Estimated depth to bedrock (ft),Nearby well,Reported depth to bedrock (ft)
NYC4 - Skyview,BxHVSR1,40.90927,-73.90686,9/14/2020,15.3,0.94,4.89,386,--,--
NYC8 - Bronx Botanical Garden,BxHVSR2,40.86563,-73.87944,9/15/2020,19.6,0.44,0.2,1318,--,--
NYC33 - North Orchard Beach,BxHVSR3,40.8755,-73.79031,9/24/2020,82.7,14.69,0.13,15,--,--
NYC34 - West of Orchard Beach Parking Lot,BxHVSR4,40.86915,-73.79892,9/24/2020,6.2,7.59,0.13,32,--,--
NYC35 - Belden Point 1,BxHVSR5,40.83744,-73.78283,9/25/2020,20.1,9.69,0,24,--,--
NYC35 - Belden Point 2,BxHVSR6,40.83811,-73.78296,9/25/2020,17.7,9.69,3.26,24,--,--
NYC36 - Ferry Point Park,BxHVSR7,40.82099,-73.82689,9/25/2020,18.6,2.31,0.03,132,--,--
NYC37 - Silver Beach Playground,BxHVSR8,40.81534,-73.8092,9/25/2020,207.5,2.97,0.04,98,--,--
N12733_SagamoreHIll,NsHVSR1,40.88678,-73.49904,5/9/2019,150.1,0.75,0.04,663,N12733,713
N12929_ParkAve_and_BerryHill,NsHVSR10,40.8647,-73.53128,5/16/2019,51.8,0.88,0.08,540,N12929,660
North Woodmere,NsHVSR11,40.64347,-73.73618,1/30/2020,8.2,0.56,0.13,966,N14430,1060
North Woodmere,NsHVSR12,40.64429,-73.73559,1/30/2020,8.6,0.53,0.15,1037,N14430,1060
North Woodmere,NsHVSR13,40.64358,-73.73631,1/30/2020,7.7,0.53,0.1,1037,N14430,1060
Lido West,NsHVSR14,40.5869,-73.63067,2/11/2020,7.6,0.41,0.04,1443,N13700,1540
Lido West,NsHVSR15,40.58664,-73.63066,2/11/2020,6.9,0.41,0.06,1443,N13700,1540
Lido West,NsHVSR16,40.58659,-73.63068,2/11/2020,6.8,0.41,0.03,1443,N13700,1540
"PWWD Sandy Hollow Rd, N12232 1",NsHVSR17,40.83644,-73.69726,2/12/2020,10.9,0.94,0.02,386,N12232,385
"PWWD Sandy Hollow Rd, N12232 2",NsHVSR18,40.83623,-73.69711,2/12/2020,11.2,0.94,0.04,386,N12232,385
Bar Beach 1,NsHVSR19,40.82848,-73.65839,2/12/2020,17.4,0.91,0.04,401,N12506,488
N12733_SagamoreHIll,NsHVSR2,40.88672,-73.49912,5/9/2019,151.2,0.75,0.07,663,N12733,713
Bar Beach 2,NsHVSR20,40.82833,-73.65836,2/12/2020,12.4,0.91,0.04,401,N12506,488
"Sands Point Rd, N12318 1",NsHVSR21,40.85585,-73.72169,2/12/2020,6.4,1.78,0.07,180,N12318,160
